filename,company,domain,region,product,incident,risk,revenue_usd,cost_usd,sla_pct,ticket_backlog,quarter
doc_0001_sales_us-east.txt,Northstar Analytics,sales,us-east,Orion,none,medium,148492,93739,90,226,2023-Q3
doc_0002_support_eu-central.txt,Apex Bio Labs,support,eu-central,Nimbus,none,low,135383,91780,87,420,2024-Q1
doc_0003_ops_us-west.txt,Helios Media Group,ops,us-west,Cobalt,vendor-delay,high,140653,97468,88,144,2024-Q3
doc_0004_finance_ap-south.txt,Vertex Retail,finance,ap-south,Cobalt,renewal-risk,high,125720,92159,99,51,2023-Q4
doc_0005_compliance_us-east.txt,Arctic Mobility,compliance,us-east,Cobalt,api-latency,low,123090,71863,90,158,2025-Q2
doc_0006_ops_eu-north.txt,Northstar Analytics,ops,eu-north,Zenith,cost-overrun,low,149487,77056,90,396,2025-Q3
doc_0007_hr_latam.txt,Apex Bio Labs,hr,latam,Pulse,cost-overrun,low,145062,90939,95,7,2025-Q2
doc_0008_sales_eu-north.txt,Vertex Retail,sales,eu-north,Cobalt,quota-miss,critical,120129,76022,100,236,2024-Q4
doc_0009_compliance_us-east.txt,Arctic Mobility,compliance,us-east,Orion,vendor-delay,medium,135719,83461,100,136,2025-Q1
doc_0010_compliance_eu-central.txt,Helios Media Group,compliance,eu-central,Cobalt,none,high,127315,78347,90,157,2024-Q3
doc_0011_engineering_eu-north.txt,Granite Finance Hub,engineering,eu-north,Atlas,quota-miss,high,121998,84181,88,48,2024-Q2
doc_0012_engineering_eu-central.txt,Apex Bio Labs,engineering,eu-central,Sierra,vendor-delay,medium,133646,77651,90,251,2024-Q4
doc_0013_compliance_eu-north.txt,Northstar Analytics,compliance,eu-north,Sierra,quota-miss,high,128193,98742,91,409,2024-Q1
doc_0014_ops_eu-central.txt,Northstar Analytics,ops,eu-central,Orion,vendor-delay,high,129493,87706,100,154,2024-Q1
doc_0015_ops_us-east.txt,Apex Bio Labs,ops,us-east,Zenith,vendor-delay,low,146856,92903,89,134,2024-Q3
doc_0016_support_us-west.txt,Blue Delta Logistics,support,us-west,Sierra,security-alert,critical,121827,72365,91,275,2024-Q4
doc_0017_finance_eu-north.txt,Northstar Analytics,finance,eu-north,Nimbus,vendor-delay,medium,136737,82919,90,153,2025-Q1
doc_0018_ops_eu-central.txt,Granite Finance Hub,ops,eu-central,Pulse,api-latency,critical,131424,82529,96,38,2024-Q2
doc_0019_ops_us-west.txt,Blue Delta Logistics,ops,us-west,Pulse,quota-miss,medium,145501,76377,99,143,2023-Q4
doc_0020_engineering_ap-south.txt,Helios Media Group,engineering,ap-south,Pulse,security-alert,high,151427,74598,87,287,2024-Q3
doc_0021_ops_us-west.txt,Blue Delta Logistics,ops,us-west,Orion,none,critical,141397,71670,100,345,2023-Q2
doc_0022_hr_eu-north.txt,Blue Delta Logistics,hr,eu-north,Nimbus,renewal-risk,medium,139194,89081,100,328,2024-Q2
doc_0023_compliance_latam.txt,Granite Finance Hub,compliance,latam,Pulse,policy-violation,critical,149816,82137,95,322,2025-Q4
doc_0024_risk_us-east.txt,Helios Media Group,risk,us-east,Sierra,policy-violation,medium,121289,80688,99,347,2025-Q1
doc_0025_finance_latam.txt,Arctic Mobility,finance,latam,Nimbus,quota-miss,low,122245,76478,87,297,2024-Q2
doc_0026_compliance_ap-south.txt,Vertex Retail,compliance,ap-south,Nimbus,cost-overrun,low,137649,88738,91,258,2024-Q4
doc_0027_sales_latam.txt,Nova Security Systems,sales,latam,Nimbus,quota-miss,critical,143196,95329,98,212,2024-Q2
doc_0028_finance_us-east.txt,Apex Bio Labs,finance,us-east,Zenith,security-alert,low,125300,82004,98,71,2023-Q3
doc_0029_finance_eu-north.txt,Granite Finance Hub,finance,eu-north,Atlas,vendor-delay,medium,126843,74517,100,175,2025-Q2
doc_0030_finance_eu-central.txt,Vertex Retail,finance,eu-central,Sierra,security-alert,critical,144136,81247,93,352,2025-Q1
doc_0031_finance_eu-north.txt,Vertex Retail,finance,eu-north,Orion,cost-overrun,low,149006,84260,99,128,2024-Q2
doc_0032_sales_latam.txt,Helios Media Group,sales,latam,Nimbus,cost-overrun,medium,138695,92589,93,238,2024-Q4
doc_0033_finance_ap-south.txt,Northstar Analytics,finance,ap-south,Orion,policy-violation,critical,122448,96701,98,114,2025-Q1
doc_0034_support_eu-north.txt,Blue Delta Logistics,support,eu-north,Nimbus,renewal-risk,high,148258,76971,93,136,2025-Q1
doc_0035_compliance_us-west.txt,Northstar Analytics,compliance,us-west,Pulse,vendor-delay,high,129739,79615,90,236,2025-Q1
doc_0036_engineering_us-west.txt,Nova Security Systems,engineering,us-west,Atlas,renewal-risk,low,137796,97845,92,4,2025-Q4
doc_0037_engineering_latam.txt,Nova Security Systems,engineering,latam,Pulse,renewal-risk,high,135945,97966,96,189,2023-Q3
doc_0038_ops_ap-south.txt,Granite Finance Hub,ops,ap-south,Sierra,security-alert,critical,141512,88502,90,269,2023-Q4
doc_0039_support_us-west.txt,Vertex Retail,support,us-west,Zenith,none,low,141961,97236,99,419,2023-Q3
doc_0040_hr_eu-north.txt,Northstar Analytics,hr,eu-north,Nimbus,none,low,145324,78739,100,346,2023-Q1
doc_0041_risk_eu-central.txt,Vertex Retail,risk,eu-central,Orion,renewal-risk,critical,128741,99223,98,48,2023-Q4
doc_0042_ops_us-east.txt,Nova Security Systems,ops,us-east,Zenith,cost-overrun,critical,143992,95179,90,102,2024-Q1
doc_0043_hr_eu-central.txt,Vertex Retail,hr,eu-central,Cobalt,quota-miss,critical,140845,90375,89,342,2024-Q1
doc_0044_finance_eu-north.txt,Arctic Mobility,finance,eu-north,Atlas,renewal-risk,critical,120793,75693,94,60,2024-Q3
doc_0045_risk_us-west.txt,Granite Finance Hub,risk,us-west,Sierra,api-latency,critical,130475,87030,94,73,2024-Q4
doc_0046_ops_us-east.txt,Helios Media Group,ops,us-east,Pulse,policy-violation,medium,143896,77519,93,386,2023-Q4
doc_0047_sales_latam.txt,Northstar Analytics,sales,latam,Quasar,cost-overrun,low,121967,97108,94,352,2024-Q2
doc_0048_engineering_us-east.txt,Arctic Mobility,engineering,us-east,Sierra,api-latency,medium,139084,88414,94,89,2023-Q1
doc_0049_finance_ap-south.txt,Nova Security Systems,finance,ap-south,Pulse,policy-violation,critical,134759,80235,93,235,2025-Q4
doc_0050_hr_eu-north.txt,Blue Delta Logistics,hr,eu-north,Zenith,cost-overrun,low,152437,80497,88,126,2023-Q1
doc_0051_risk_latam.txt,Helios Media Group,risk,latam,Orion,api-latency,high,123327,80192,87,416,2025-Q4
doc_0052_risk_us-east.txt,Apex Bio Labs,risk,us-east,Zenith,vendor-delay,critical,137235,78148,94,315,2023-Q4
doc_0053_compliance_latam.txt,Granite Finance Hub,compliance,latam,Pulse,policy-violation,high,128067,79400,88,77,2024-Q4
doc_0054_finance_us-east.txt,Northstar Analytics,finance,us-east,Zenith,security-alert,high,140579,77973,89,279,2024-Q2
doc_0055_sales_eu-north.txt,Nova Security Systems,sales,eu-north,Atlas,policy-violation,medium,147974,102679,100,198,2024-Q1
doc_0056_finance_us-east.txt,Apex Bio Labs,finance,us-east,Pulse,renewal-risk,low,131942,80486,87,244,2024-Q4
doc_0057_risk_us-east.txt,Apex Bio Labs,risk,us-east,Atlas,cost-overrun,critical,142811,79567,95,374,2024-Q2
doc_0058_engineering_latam.txt,Northstar Analytics,engineering,latam,Pulse,cost-overrun,low,147644,102767,99,375,2024-Q2
doc_0059_finance_us-east.txt,Arctic Mobility,finance,us-east,Zenith,none,critical,136331,98802,95,409,2024-Q3
doc_0060_engineering_ap-south.txt,Granite Finance Hub,engineering,ap-south,Quasar,quota-miss,medium,138568,77340,89,286,2024-Q1
doc_0061_support_eu-central.txt,Arctic Mobility,support,eu-central,Atlas,quota-miss,critical,122020,76389,92,195,2023-Q3
doc_0062_support_ap-south.txt,Helios Media Group,support,ap-south,Orion,cost-overrun,medium,131358,70410,97,240,2024-Q1
doc_0063_hr_latam.txt,Vertex Retail,hr,latam,Sierra,quota-miss,high,126316,102002,88,56,2023-Q1
doc_0064_compliance_us-west.txt,Helios Media Group,compliance,us-west,Nimbus,security-alert,high,128622,93919,98,191,2023-Q1
doc_0065_engineering_latam.txt,Blue Delta Logistics,engineering,latam,Orion,none,low,150904,86838,96,194,2024-Q3
